CropName_1,CityName,textbox5,textbox6,textbox7
Rice Basmati Super (New),Lahore,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,01 Jan 10,5500
,02 Jan 10,5250
,04 Jan 10,5750
,05 Jan 10,5750
,06 Jan 10,6100
,07 Jan 10,5750
,08 Jan 10,5750
,09 Jan 10,5850
,11 Jan 10,5750
,12 Jan 10,5750
,13 Jan 10,5750
,14 Jan 10,5850
,15 Jan 10,5750
,16 Jan 10,5750
,18 Jan 10,5800
,19 Jan 10,5800
,20 Jan 10,5750
,21 Jan 10,6100
,22 Jan 10,5800
,23 Jan 10,6100
,25 Jan 10,5750
,26 Jan 10,5750
,27 Jan 10,5750
,28 Jan 10,5750
,29 Jan 10,6150
,30 Jan 10,5750
,01 Feb 10,5500
,02 Feb 10,5750
,03 Feb 10,5500
,09 Feb 10,5650
,10 Feb 10,5650
,11 Feb 10,5400
,12 Feb 10,5650
,13 Feb 10,5650
,15 Feb 10,5750
,16 Feb 10,5750
,17 Feb 10,5750
,18 Feb 10,5650
,19 Feb 10,5650
,20 Feb 10,5700
,22 Feb 10,5650
,23 Feb 10,5250
,24 Feb 10,5250
,25 Feb 10,5250
,01 Mar 10,5650
,02 Mar 10,5250
,03 Mar 10,5750
,04 Mar 10,5250
,05 Mar 10,5750
,06 Mar 10,5750
,08 Mar 10,5650
,09 Mar 10,5500
,11 Mar 10,5750
,12 Mar 10,5750
,13 Mar 10,5750
,15 Mar 10,5650
,16 Mar 10,5650
,17 Mar 10,5700
,18 Mar 10,5650
,19 Mar 10,5400
,20 Mar 10,5750
,22 Mar 10,5250
,25 Mar 10,5250
,26 Mar 10,5250
,29 Mar 10,5250
,30 Mar 10,5750
,31 Mar 10,5750
,01 Apr 10,5750
,02 Apr 10,5750
,05 Apr 10,5600
,06 Apr 10,5650
,07 Apr 10,5650
,08 Apr 10,5750
,09 Apr 10,5750
,10 Apr 10,5750
,12 Apr 10,5300
,13 Apr 10,5250
,14 Apr 10,5250
,15 Apr 10,5250
,16 Apr 10,5250
,17 Apr 10,5300
,19 Apr 10,5650
,20 Apr 10,5650
,21 Apr 10,5650
,22 Apr 10,5650
,23 Apr 10,5650
,26 Apr 10,5650
,27 Apr 10,5650
,28 Apr 10,5650
,29 Apr 10,5650
,30 Apr 10,5650
,03 May 10,5550
,04 May 10,5550
,05 May 10,5550
,06 May 10,5550
,07 May 10,5550
,10 May 10,5750
,11 May 10,6100
,12 May 10,5750
,13 May 10,6100
,14 May 10,5750
,17 May 10,5750
,18 May 10,5750
,19 May 10,5750
,20 May 10,5750
,21 May 10,5750
,24 May 10,5250
,25 May 10,5250
,26 May 10,5250
,27 May 10,5250
,28 May 10,5250
,31 May 10,5650
,01 Jun 10,5650
,02 Jun 10,5650
,03 Jun 10,5650
,04 Jun 10,5650
,07 Jun 10,5650
,08 Jun 10,5650
,09 Jun 10,5650
,10 Jun 10,5650
,11 Jun 10,5650
,14 Jun 10,5650
,15 Jun 10,5650
,16 Jun 10,5650
,17 Jun 10,5700
,18 Jun 10,5650
,21 Jun 10,5300
,22 Jun 10,5250
,23 Jun 10,5300
,24 Jun 10,5300
,28 Jun 10,5650
,29 Jun 10,5650
,30 Jun 10,5650
,01 Jul 10,5650
,05 Jul 10,5650
,06 Jul 10,5700
,07 Jul 10,5750
,08 Jul 10,5750
,09 Jul 10,5800
,12 Jul 10,5800
,13 Jul 10,5800
,14 Jul 10,5900
,15 Jul 10,5800
,16 Jul 10,5800
,19 Jul 10,5800
,20 Jul 10,5800
,21 Jul 10,5800
,22 Jul 10,5900
,23 Jul 10,5800
,26 Jul 10,5850
,27 Jul 10,5850
,28 Jul 10,5850
,29 Jul 10,5750
,30 Jul 10,5800
,02 Aug 10,5750
,03 Aug 10,5750
,04 Aug 10,5900
,05 Aug 10,5750
,06 Aug 10,5750
,09 Aug 10,5800
,10 Aug 10,5800
,11 Aug 10,5900
,12 Aug 10,5800
,13 Aug 10,5800
,16 Aug 10,5750
,17 Aug 10,5900
,18 Aug 10,5850
,19 Aug 10,5850
,20 Aug 10,5800
,22 Aug 10,5850
,23 Aug 10,5850
,24 Aug 10,5750
,25 Aug 10,5750
,26 Aug 10,5850
,27 Aug 10,5900
,30 Aug 10,5850
,31 Aug 10,5750
,01 Sep 10,5750
,02 Sep 10,5900
,03 Sep 10,5850
,06 Sep 10,5750
,07 Sep 10,5850
,08 Sep 10,5750
,09 Sep 10,5850
,14 Sep 10,5750
,15 Sep 10,5750
,16 Sep 10,5500
,17 Sep 10,5750
,18 Sep 10,5750
,20 Sep 10,5500
,21 Sep 10,5750
,22 Sep 10,5750
,23 Sep 10,5500
,24 Sep 10,5500
,25 Sep 10,5500
,27 Sep 10,5500
,28 Sep 10,5500
,29 Sep 10,5750
,30 Sep 10,6000
,01 Oct 10,6250
,02 Oct 10,6000
,04 Oct 10,6000
,05 Oct 10,6250
,06 Oct 10,6000
