CropName_1,CityName,textbox5,textbox6,textbox7
Rice Basmati Super (New),BahawalPur,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,04 Jan 10,6750
,05 Jan 10,6750
,06 Jan 10,6750
,09 Jan 10,6750
,11 Jan 10,6750
,13 Jan 10,6750
,23 Jan 10,6750
,25 Jan 10,6750
,26 Jan 10,6750
,27 Jan 10,6750
,28 Jan 10,6750
,29 Jan 10,6750
,30 Jan 10,6750
,01 Feb 10,6750
,03 Feb 10,6750
,04 Feb 10,6750
,06 Feb 10,6750
,17 Feb 10,6750
,19 Feb 10,4750
,22 Feb 10,6750
,26 Feb 10,
,04 Mar 10,4750
,11 Mar 10,4750
,12 Mar 10,4750
,13 Mar 10,4750
,15 Mar 10,4750
,16 Mar 10,4750
,17 Mar 10,4750
,19 Mar 10,4750
,25 Mar 10,4750
,02 Apr 10,4750
,05 Apr 10,4750
,06 Apr 10,4750
,08 Apr 10,4750
,09 Apr 10,4750
,13 Apr 10,4750
,03 May 10,6000
,06 May 10,6000
,07 May 10,6000
,10 May 10,6000
,11 May 10,6000
,12 May 10,6000
,13 May 10,6000
,14 May 10,6000
,18 May 10,6000
,19 May 10,6000
,25 May 10,6000
,27 May 10,6000
,28 May 10,6000
,31 May 10,6000
,02 Jun 10,6000
,03 Jun 10,6000
,08 Jun 10,6000
,09 Jun 10,6000
,14 Jun 10,6000
,16 Jun 10,6000
,22 Jun 10,6000
,23 Jun 10,6000
,06 Jul 10,6000
,07 Jul 10,6000
,08 Jul 10,6000
,09 Jul 10,6000
,12 Jul 10,6000
,13 Jul 10,6000
,16 Jul 10,6000
,19 Jul 10,6000
,20 Jul 10,6000
,22 Jul 10,6000
,26 Jul 10,6000
,27 Jul 10,6000
,28 Jul 10,6000
,29 Jul 10,6000
,30 Jul 10,6000
,02 Aug 10,6000
,03 Aug 10,6000
,04 Aug 10,5500
,05 Aug 10,6000
,06 Aug 10,5500
,09 Aug 10,5500
,10 Aug 10,5500
,11 Aug 10,5500
,12 Aug 10,5500
,13 Aug 10,5500
,14 Aug 10,5500
,15 Aug 10,5500
,16 Aug 10,5500
,17 Aug 10,5500
,18 Aug 10,5500
,19 Aug 10,5500
,20 Aug 10,5500
,21 Aug 10,5500
,22 Aug 10,5500
,23 Aug 10,5500
,24 Aug 10,5500
,25 Aug 10,6000
,26 Aug 10,6000
,27 Aug 10,6000
,28 Aug 10,6000
,29 Aug 10,6000
,30 Aug 10,6250
,31 Aug 10,6250
,01 Sep 10,6250
,02 Sep 10,6250
,03 Sep 10,6000
,04 Sep 10,6000
,05 Sep 10,6000
,07 Sep 10,6000
,09 Sep 10,6000
,10 Sep 10,6000
,14 Sep 10,
