CropName_1,CityName,textbox5,textbox6,textbox7
Rice Basmati Super (New),Faisalabad,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,01 Jan 10,
,02 Jan 10,5125
,04 Jan 10,5625
,05 Jan 10,5938
,06 Jan 10,6063
,07 Jan 10,5900
,08 Jan 10,
,09 Jan 10,5938
,11 Jan 10,6063
,12 Jan 10,5875
,13 Jan 10,5875
,14 Jan 10,5625
,15 Jan 10,
,16 Jan 10,5625
,18 Jan 10,5625
,19 Jan 10,5625
,20 Jan 10,5625
,21 Jan 10,5875
,22 Jan 10,
,23 Jan 10,5875
,25 Jan 10,5875
,26 Jan 10,5750
,27 Jan 10,5750
,28 Jan 10,5625
,29 Jan 10,
,30 Jan 10,5625
,01 Feb 10,5625
,02 Feb 10,5625
,03 Feb 10,5625
,04 Feb 10,5500
,06 Feb 10,5500
,08 Feb 10,5500
,09 Feb 10,5500
,10 Feb 10,5500
,11 Feb 10,5500
,12 Feb 10,
,13 Feb 10,5500
,15 Feb 10,5500
,16 Feb 10,5375
,17 Feb 10,5375
,18 Feb 10,5375
,19 Feb 10,
,20 Feb 10,5375
,22 Feb 10,5375
,23 Feb 10,5375
,24 Feb 10,5375
,25 Feb 10,5375
,26 Feb 10,
,01 Mar 10,5300
,02 Mar 10,5250
,03 Mar 10,5250
,04 Mar 10,5250
,05 Mar 10,
,06 Mar 10,5125
,08 Mar 10,5125
,09 Mar 10,5125
,10 Mar 10,5125
,11 Mar 10,5125
,12 Mar 10,
,13 Mar 10,5125
,15 Mar 10,5125
,16 Mar 10,5125
,17 Mar 10,5125
,18 Mar 10,5125
,19 Mar 10,
,20 Mar 10,5125
,22 Mar 10,5125
,25 Mar 10,5125
,26 Mar 10,
,27 Mar 10,5125
,29 Mar 10,5125
,30 Mar 10,5125
,31 Mar 10,5125
,01 Apr 10,5125
,02 Apr 10,
,05 Apr 10,5125
,06 Apr 10,5125
,07 Apr 10,5375
,08 Apr 10,5375
,09 Apr 10,
,10 Apr 10,5375
,12 Apr 10,5375
,13 Apr 10,5375
,14 Apr 10,5375
,15 Apr 10,5375
,16 Apr 10,
,17 Apr 10,5375
,19 Apr 10,5375
,20 Apr 10,5375
,21 Apr 10,5375
,22 Apr 10,5375
,23 Apr 10,
,26 Apr 10,5375
,27 Apr 10,5125
,28 Apr 10,5125
,29 Apr 10,5125
,30 Apr 10,5125
,03 May 10,5125
,04 May 10,5125
,05 May 10,5125
,06 May 10,5125
,07 May 10,
,10 May 10,5125
,11 May 10,5125
,12 May 10,5125
,13 May 10,5125
,14 May 10,
,17 May 10,5125
,18 May 10,5125
,19 May 10,5125
,20 May 10,5125
,21 May 10,
,24 May 10,5125
,25 May 10,5125
,26 May 10,5125
,27 May 10,5125
,28 May 10,
,31 May 10,5125
,01 Jun 10,5125
,02 Jun 10,5125
,03 Jun 10,5125
,04 Jun 10,
,07 Jun 10,5125
,08 Jun 10,5125
,09 Jun 10,5125
,10 Jun 10,5125
,11 Jun 10,
,14 Jun 10,5125
,15 Jun 10,5125
,16 Jun 10,5375
,17 Jun 10,5375
,18 Jun 10,
,21 Jun 10,5375
,22 Jun 10,5350
,24 Jun 10,5375
,25 Jun 10,
,28 Jun 10,5375
,29 Jun 10,5375
,30 Jun 10,5375
,01 Jul 10,5375
,02 Jul 10,
,05 Jul 10,5375
,06 Jul 10,5625
,07 Jul 10,5625
,08 Jul 10,5625
,09 Jul 10,
,13 Jul 10,5625
,14 Jul 10,5625
,15 Jul 10,5625
,16 Jul 10,
,19 Jul 10,5625
,20 Jul 10,5625
,21 Jul 10,5625
,22 Jul 10,5625
,23 Jul 10,
,26 Jul 10,5625
,27 Jul 10,5625
,29 Jul 10,5625
,30 Jul 10,
,02 Aug 10,5625
,03 Aug 10,5875
,04 Aug 10,5875
,05 Aug 10,5875
,06 Aug 10,
,08 Aug 10,5875
,09 Aug 10,5875
,10 Aug 10,6450
,11 Aug 10,5875
,12 Aug 10,5875
,13 Aug 10,
,14 Aug 10,5875
,15 Aug 10,5875
,16 Aug 10,5875
,17 Aug 10,5875
,18 Aug 10,5875
,19 Aug 10,5875
,20 Aug 10,
,21 Aug 10,5875
,22 Aug 10,5875
,23 Aug 10,5875
,24 Aug 10,5875
,25 Aug 10,5875
,26 Aug 10,5875
,27 Aug 10,
,28 Aug 10,5875
,29 Aug 10,5875
,30 Aug 10,5875
,31 Aug 10,5875
,01 Sep 10,5875
,02 Sep 10,5875
,03 Sep 10,
,04 Sep 10,6188
,05 Sep 10,6188
,06 Sep 10,6188
,07 Sep 10,6188
,08 Sep 10,6188
,09 Sep 10,6188
,14 Sep 10,6188
,15 Sep 10,6375
,16 Sep 10,6375
,17 Sep 10,
,20 Sep 10,6375
,21 Sep 10,6375
,22 Sep 10,6375
,23 Sep 10,6375
,24 Sep 10,
,27 Sep 10,6625
,28 Sep 10,6625
,29 Sep 10,6500
,30 Sep 10,6500
,01 Oct 10,
,04 Oct 10,6500
,05 Oct 10,6500
,06 Oct 10,6525
,07 Oct 10,6500
,08 Oct 10,
,11 Oct 10,6500
,12 Oct 10,6375
,13 Oct 10,6375
,14 Oct 10,6375
,15 Oct 10,
,18 Oct 10,6375
,19 Oct 10,6375
,20 Oct 10,6375
,21 Oct 10,6375
,22 Oct 10,
,25 Oct 10,6375
,26 Oct 10,6375
,27 Oct 10,6375
,28 Oct 10,6375
,29 Oct 10,
,01 Nov 10,6375
,02 Nov 10,6250
,03 Nov 10,6250
,04 Nov 10,6250
,05 Nov 10,
,08 Nov 10,6250
,10 Nov 10,6250
,11 Nov 10,6250
,12 Nov 10,
,15 Nov 10,6250
,16 Nov 10,6250
,22 Nov 10,6250
,23 Nov 10,5875
,24 Nov 10,5875
,25 Nov 10,5875
,26 Nov 10,
,27 Nov 10,5875
,29 Nov 10,6188
,30 Nov 10,6188
,01 Dec 10,6188
,02 Dec 10,6188
,03 Dec 10,
,04 Dec 10,6313
,06 Dec 10,6188
,07 Dec 10,6313
,08 Dec 10,5000
,09 Dec 10,6313
,10 Dec 10,
,11 Dec 10,6125
,13 Dec 10,6125
,14 Dec 10,6125
,15 Dec 10,6125
,18 Dec 10,6563
,20 Dec 10,6562
,21 Dec 10,6625
,22 Dec 10,6625
,23 Dec 10,6625
,24 Dec 10,
,27 Dec 10,6625
,28 Dec 10,6625
,29 Dec 10,6625
,30 Dec 10,6625
,31 Dec 10,
,01 Jan 11,6650
,03 Jan 11,6625
,04 Jan 11,6875
,06 Jan 11,6875
,07 Jan 11,
,08 Jan 11,6875
,10 Jan 11,6875
,11 Jan 11,6875
,12 Jan 11,6875
,13 Jan 11,7275
,14 Jan 11,
,15 Jan 11,6875
,17 Jan 11,6875
,18 Jan 11,6875
,19 Jan 11,6875
,20 Jan 11,6875
,21 Jan 11,
,22 Jan 11,6625
,24 Jan 11,6625
,25 Jan 11,6625
,26 Jan 11,
,27 Jan 11,6625
,28 Jan 11,
,29 Jan 11,6625
,31 Jan 11,6625
