CropName_1,CityName,textbox5,textbox6,textbox7
Rice Basmati Super (New),Sargodha,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,01 Jan 10,5625
,02 Jan 10,5625
,04 Jan 10,5938
,05 Jan 10,5875
,06 Jan 10,5875
,07 Jan 10,5875
,08 Jan 10,5625
,11 Jan 10,5625
,12 Jan 10,5625
,13 Jan 10,5625
,14 Jan 10,5625
,15 Jan 10,5625
,16 Jan 10,5625
,18 Jan 10,5875
,19 Jan 10,5875
,20 Jan 10,5688
,21 Jan 10,5625
,23 Jan 10,5625
,25 Jan 10,5625
,26 Jan 10,5625
,27 Jan 10,5625
,28 Jan 10,5688
,29 Jan 10,5625
,30 Jan 10,5625
,01 Feb 10,5625
,02 Feb 10,5563
,03 Feb 10,5563
,04 Feb 10,5563
,06 Feb 10,5563
,08 Feb 10,5313
,09 Feb 10,5313
,10 Feb 10,5375
,11 Feb 10,5375
,12 Feb 10,5438
,13 Feb 10,5438
,15 Feb 10,5187
,16 Feb 10,5187
,17 Feb 10,5188
,18 Feb 10,5125
,19 Feb 10,5125
,20 Feb 10,5125
,22 Feb 10,4813
,23 Feb 10,4813
,24 Feb 10,5438
,25 Feb 10,5438
,26 Feb 10,5438
,01 Mar 10,5438
,02 Mar 10,5438
,03 Mar 10,5313
,04 Mar 10,5313
,05 Mar 10,5313
,08 Mar 10,5313
,09 Mar 10,5375
,10 Mar 10,5375
,11 Mar 10,5375
,12 Mar 10,5375
,13 Mar 10,5375
,15 Mar 10,5375
,16 Mar 10,5375
,17 Mar 10,5375
,18 Mar 10,5375
,19 Mar 10,5375
,20 Mar 10,5375
,22 Mar 10,5375
,25 Mar 10,5375
,26 Mar 10,5375
,27 Mar 10,5375
,29 Mar 10,5375
,30 Mar 10,5375
,31 Mar 10,5175
,01 Apr 10,5375
,02 Apr 10,5375
,05 Apr 10,5375
,06 Apr 10,5375
,07 Apr 10,5125
,08 Apr 10,5125
,09 Apr 10,5125
,10 Apr 10,5125
,12 Apr 10,5250
,13 Apr 10,
,14 Apr 10,
,15 Apr 10,5250
,16 Apr 10,5250
,17 Apr 10,5250
,19 Apr 10,4875
,20 Apr 10,4875
,21 Apr 10,4875
,23 Apr 10,5250
,26 Apr 10,5125
,27 Apr 10,5125
,28 Apr 10,5125
,29 Apr 10,5000
,30 Apr 10,5000
,03 May 10,5063
,04 May 10,5000
,05 May 10,5125
,06 May 10,5125
,07 May 10,5125
,10 May 10,5000
,11 May 10,5000
,12 May 10,5000
,13 May 10,5375
,14 May 10,5375
,17 May 10,5375
,18 May 10,5375
,19 May 10,5375
,20 May 10,5375
,21 May 10,5375
,24 May 10,5438
,25 May 10,5438
,26 May 10,5438
,27 May 10,
,28 May 10,5375
,31 May 10,5375
,01 Jun 10,5375
,02 Jun 10,5375
,03 Jun 10,5375
,04 Jun 10,5375
,07 Jun 10,5375
,08 Jun 10,5375
,09 Jun 10,5375
,10 Jun 10,5375
,11 Jun 10,5375
,14 Jun 10,5375
,15 Jun 10,5375
,16 Jun 10,5375
,17 Jun 10,5375
,18 Jun 10,5375
,21 Jun 10,5500
,22 Jun 10,5500
,23 Jun 10,5500
,24 Jun 10,5500
,25 Jun 10,5500
,28 Jun 10,5438
,29 Jun 10,5438
,30 Jun 10,5438
,05 Jul 10,
,06 Jul 10,5688
,07 Jul 10,5688
,08 Jul 10,5688
,09 Jul 10,5688
,12 Jul 10,5625
,13 Jul 10,5625
,14 Jul 10,5625
,15 Jul 10,5625
,16 Jul 10,5625
,19 Jul 10,5563
,20 Jul 10,
,21 Jul 10,5563
,22 Jul 10,5563
,23 Jul 10,5563
,26 Jul 10,5563
,27 Jul 10,5563
,28 Jul 10,5563
,29 Jul 10,
,30 Jul 10,
,02 Aug 10,5750
,03 Aug 10,5750
,04 Aug 10,5750
,05 Aug 10,5750
,06 Aug 10,5500
,09 Aug 10,5625
,10 Aug 10,5625
,11 Aug 10,5625
,12 Aug 10,5625
,13 Aug 10,5600
,16 Aug 10,5750
,17 Aug 10,5750
,18 Aug 10,5625
,19 Aug 10,6125
,20 Aug 10,6125
,21 Aug 10,6125
,22 Aug 10,
,23 Aug 10,5750
,24 Aug 10,5750
,25 Aug 10,5750
,26 Aug 10,5750
,27 Aug 10,6125
,28 Aug 10,6125
,29 Aug 10,
