CropName_1,CityName,textbox5,textbox6,textbox7
Sugar,Multan,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,01 Jan 10,
,04 Jan 10,6260
,05 Jan 10,6155
,06 Jan 10,6155
,07 Jan 10,6160
,08 Jan 10,
,09 Jan 10,6140
,11 Jan 10,6140
,12 Jan 10,6145
,13 Jan 10,6135
,14 Jan 10,6130
,15 Jan 10,
,16 Jan 10,6175
,18 Jan 10,6195
,19 Jan 10,6325
,20 Jan 10,6290
,21 Jan 10,6413
,22 Jan 10,
,25 Jan 10,6625
,26 Jan 10,6715
,27 Jan 10,6690
,28 Jan 10,6670
,29 Jan 10,
,30 Jan 10,6620
,01 Feb 10,6590
,02 Feb 10,6540
,03 Feb 10,6565
,04 Feb 10,6540
,06 Feb 10,6510
,08 Feb 10,6495
,09 Feb 10,6445
,10 Feb 10,6410
,11 Feb 10,6365
,12 Feb 10,
,13 Feb 10,6550
,15 Feb 10,6463
,16 Feb 10,6400
,17 Feb 10,6395
,19 Feb 10,
,20 Feb 10,6290
,22 Feb 10,6355
,23 Feb 10,6410
,24 Feb 10,6393
,25 Feb 10,6400
,01 Mar 10,6330
,02 Mar 10,6355
,03 Mar 10,6345
,04 Mar 10,6290
,05 Mar 10,
,06 Mar 10,
,08 Mar 10,6225
,09 Mar 10,6205
,10 Mar 10,6175
,11 Mar 10,6065
,12 Mar 10,
,13 Mar 10,5990
,15 Mar 10,6040
,16 Mar 10,5990
,17 Mar 10,6025
,18 Mar 10,6045
,19 Mar 10,
,20 Mar 10,6045
,22 Mar 10,6050
,25 Mar 10,5860
,26 Mar 10,
,27 Mar 10,5735
,29 Mar 10,5785
,30 Mar 10,5735
,31 Mar 10,5845
,01 Apr 10,5850
,02 Apr 10,
,05 Apr 10,5825
,06 Apr 10,5825
,07 Apr 10,5815
,08 Apr 10,5823
,09 Apr 10,
,10 Apr 10,5805
,12 Apr 10,5755
,13 Apr 10,5775
,14 Apr 10,
,15 Apr 10,5825
,16 Apr 10,
,17 Apr 10,6015
,19 Apr 10,5955
,20 Apr 10,5930
,21 Apr 10,5895
,22 Apr 10,5865
,23 Apr 10,
,26 Apr 10,5875
,27 Apr 10,5785
,28 Apr 10,5785
,29 Apr 10,5755
,30 Apr 10,
,04 May 10,5755
,05 May 10,5825
,06 May 10,5830
,07 May 10,
,10 May 10,5805
,11 May 10,5785
,12 May 10,5775
,13 May 10,5765
,14 May 10,
,17 May 10,5775
,18 May 10,5755
,19 May 10,5745
,20 May 10,5735
,21 May 10,
,24 May 10,5830
,25 May 10,5765
,26 May 10,5765
,27 May 10,5755
,28 May 10,
,31 May 10,5755
,01 Jun 10,5755
,02 Jun 10,5755
,03 Jun 10,5755
,04 Jun 10,
,07 Jun 10,5745
,08 Jun 10,5790
,09 Jun 10,5850
,10 Jun 10,5855
,11 Jun 10,
,14 Jun 10,6205
,15 Jun 10,5175
,16 Jun 10,6165
,17 Jun 10,6150
,18 Jun 10,
,21 Jun 10,6270
,22 Jun 10,6260
,23 Jun 10,6260
