CropName_1,CityName,textbox5,textbox6,textbox7
Sugar,Faisalabad,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,01 Jan 10,
,02 Jan 10,6380
,04 Jan 10,6325
,05 Jan 10,6220
,06 Jan 10,6220
,07 Jan 10,6210
,08 Jan 10,
,09 Jan 10,6210
,11 Jan 10,6248
,12 Jan 10,6240
,13 Jan 10,6240
,14 Jan 10,6245
,15 Jan 10,
,16 Jan 10,6245
,18 Jan 10,6265
,19 Jan 10,
,20 Jan 10,6370
,21 Jan 10,6380
,22 Jan 10,
,23 Jan 10,6545
,25 Jan 10,6720
,26 Jan 10,6740
,27 Jan 10,6813
,28 Jan 10,6813
,29 Jan 10,
,30 Jan 10,6813
,01 Feb 10,6640
,02 Feb 10,6660
,03 Feb 10,6660
,04 Feb 10,6670
,06 Feb 10,6670
,08 Feb 10,6665
,09 Feb 10,6610
,10 Feb 10,6520
,11 Feb 10,6520
,12 Feb 10,
,13 Feb 10,6620
,15 Feb 10,6590
,16 Feb 10,6570
,17 Feb 10,6525
,18 Feb 10,6503
,19 Feb 10,
,20 Feb 10,6425
,22 Feb 10,6480
,23 Feb 10,6495
,24 Feb 10,6540
,25 Feb 10,6510
,26 Feb 10,
,01 Mar 10,6475
,02 Mar 10,6440
,03 Mar 10,6420
,04 Mar 10,6420
,05 Mar 10,
,06 Mar 10,6380
,08 Mar 10,6370
,09 Mar 10,6300
,10 Mar 10,6280
,11 Mar 10,6195
,12 Mar 10,
,13 Mar 10,6080
,15 Mar 10,6080
,16 Mar 10,6055
,17 Mar 10,6090
,18 Mar 10,6125
,19 Mar 10,
,20 Mar 10,6095
,22 Mar 10,6100
,25 Mar 10,5990
,26 Mar 10,
,27 Mar 10,5950
,29 Mar 10,5880
,30 Mar 10,5825
,31 Mar 10,5825
,01 Apr 10,5800
,02 Apr 10,
,05 Apr 10,5875
,06 Apr 10,5885
,07 Apr 10,5880
,08 Apr 10,5865
,09 Apr 10,
,10 Apr 10,5865
,12 Apr 10,5825
,13 Apr 10,5830
,14 Apr 10,5860
,15 Apr 10,5905
,16 Apr 10,
,17 Apr 10,5980
,19 Apr 10,6075
,20 Apr 10,6060
,21 Apr 10,6080
,22 Apr 10,5960
,23 Apr 10,
,26 Apr 10,5943
,27 Apr 10,5865
