CropName_1,CityName,textbox5,textbox6,textbox7
Sugar,Gujranwala,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,01 Jan 10,6310
,02 Jan 10,6300
,04 Jan 10,6325
,05 Jan 10,6450
,06 Jan 10,6350
,07 Jan 10,6325
,08 Jan 10,6290
,09 Jan 10,6310
,11 Jan 10,6290
,12 Jan 10,6290
,14 Jan 10,6270
,20 Jan 10,6320
,22 Jan 10,6320
,23 Jan 10,6450
,26 Jan 10,6790
,27 Jan 10,6750
,28 Jan 10,6790
,29 Jan 10,6790
,30 Jan 10,6760
,01 Feb 10,6790
,02 Feb 10,6790
,03 Feb 10,6780
,04 Feb 10,6700
,06 Feb 10,6700
,08 Feb 10,6695
,09 Feb 10,6690
,10 Feb 10,6695
,13 Feb 10,6475
,15 Feb 10,6475
,16 Feb 10,6475
,18 Feb 10,6550
,19 Feb 10,6550
,20 Feb 10,6550
,22 Feb 10,6545
,23 Feb 10,6545
,24 Feb 10,6535
,25 Feb 10,6550
,26 Feb 10,6490
,01 Mar 10,6495
,02 Mar 10,6490
,03 Mar 10,6490
,04 Mar 10,6490
,05 Mar 10,6495
,06 Mar 10,6490
,08 Mar 10,6390
,09 Mar 10,6370
,10 Mar 10,6350
,12 Mar 10,6300
,15 Mar 10,6330
,16 Mar 10,6210
,17 Mar 10,6145
,18 Mar 10,6145
,19 Mar 10,6145
,20 Mar 10,6145
,22 Mar 10,6135
,25 Mar 10,6100
,26 Mar 10,6010
,27 Mar 10,6010
,29 Mar 10,8200
,30 Mar 10,6010
,31 Mar 10,5850
,01 Apr 10,5910
,02 Apr 10,5915
,05 Apr 10,5910
,06 Apr 10,5920
,07 Apr 10,5920
,08 Apr 10,5920
,09 Apr 10,5920
,10 Apr 10,5930
,12 Apr 10,5930
,13 Apr 10,5910
,14 Apr 10,5945
,15 Apr 10,5950
,16 Apr 10,5950
,17 Apr 10,6130
,19 Apr 10,6130
,20 Apr 10,6110
,21 Apr 10,6110
,22 Apr 10,6045
,23 Apr 10,6055
,26 Apr 10,6065
,27 Apr 10,6050
,28 Apr 10,6055
,29 Apr 10,6055
,30 Apr 10,6045
,03 May 10,5955
,04 May 10,5970
,05 May 10,6010
,06 May 10,6010
,07 May 10,5975
,10 May 10,5975
,11 May 10,5970
,12 May 10,5925
,13 May 10,5925
,14 May 10,5925
,17 May 10,5925
,18 May 10,5910
,19 May 10,5910
,20 May 10,5910
,21 May 10,5945
,24 May 10,5955
,25 May 10,5955
,27 May 10,5850
,28 May 10,5845
,31 May 10,5845
,01 Jun 10,5855
,02 Jun 10,5855
,03 Jun 10,5845
,04 Jun 10,5845
,07 Jun 10,5843
,08 Jun 10,5843
,09 Jun 10,5870
,10 Jun 10,5910
,11 Jun 10,5930
,14 Jun 10,5990
,15 Jun 10,5990
,16 Jun 10,5990
,17 Jun 10,5990
,18 Jun 10,6335
,21 Jun 10,6345
,22 Jun 10,6345
,23 Jun 10,6355
,24 Jun 10,6470
,25 Jun 10,6370
,28 Jun 10,6390
,29 Jun 10,6490
,30 Jun 10,6490
,01 Jul 10,6495
,02 Jul 10,6510
,05 Jul 10,6495
,06 Jul 10,6520
,07 Jul 10,6520
,08 Jul 10,6490
,09 Jul 10,6490
,12 Jul 10,6490
,13 Jul 10,6495
,14 Jul 10,6495
,16 Jul 10,6495
,19 Jul 10,6510
,20 Jul 10,6510
,21 Jul 10,6530
,22 Jul 10,6490
,23 Jul 10,6485
,26 Jul 10,6490
,27 Jul 10,6570
,28 Jul 10,6590
,29 Jul 10,6610
,30 Jul 10,6610
,02 Aug 10,6630
,03 Aug 10,6630
,04 Aug 10,6720
,06 Aug 10,6850
,09 Aug 10,7020
,10 Aug 10,6990
,11 Aug 10,6990
,12 Aug 10,6990
,13 Aug 10,6990
,14 Aug 10,6990
,15 Aug 10,6990
,17 Aug 10,6990
,18 Aug 10,6990
,19 Aug 10,7100
