CropName_1,CityName,textbox5,textbox6,textbox7
Sugar,Lahore,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,01 Jan 10,6300
,02 Jan 10,6300
,04 Jan 10,6310
,05 Jan 10,6310
,06 Jan 10,6310
,07 Jan 10,6310
,08 Jan 10,6310
,09 Jan 10,6310
,11 Jan 10,6280
,12 Jan 10,6280
,13 Jan 10,6280
,14 Jan 10,6280
,15 Jan 10,6280
,16 Jan 10,6280
,18 Jan 10,6300
,19 Jan 10,6300
,20 Jan 10,6300
,21 Jan 10,6300
,22 Jan 10,6300
,23 Jan 10,6300
,25 Jan 10,6650
,26 Jan 10,6650
,27 Jan 10,6650
,28 Jan 10,6650
,29 Jan 10,6650
,30 Jan 10,6650
,01 Feb 10,6700
,02 Feb 10,6700
,03 Feb 10,6700
,09 Feb 10,6660
,10 Feb 10,6660
,11 Feb 10,6650
,12 Feb 10,6650
,13 Feb 10,6650
,15 Feb 10,6600
,16 Feb 10,6610
,17 Feb 10,6610
,18 Feb 10,6500
,19 Feb 10,6500
,20 Feb 10,6500
,22 Feb 10,6510
,23 Feb 10,6510
,24 Feb 10,6500
,25 Feb 10,6500
,01 Mar 10,6480
,02 Mar 10,6480
,03 Mar 10,6480
,04 Mar 10,6480
,05 Mar 10,6480
,06 Mar 10,6480
,08 Mar 10,6400
,09 Mar 10,6400
,11 Mar 10,6400
,12 Mar 10,6400
,13 Mar 10,6400
,15 Mar 10,6190
,16 Mar 10,6180
,17 Mar 10,6180
,18 Mar 10,6180
,19 Mar 10,6180
,20 Mar 10,6180
,22 Mar 10,6275
,25 Mar 10,6060
,26 Mar 10,6060
,29 Mar 10,5900
,30 Mar 10,5840
,31 Mar 10,5940
,01 Apr 10,5940
,02 Apr 10,5940
,05 Apr 10,5900
,06 Apr 10,5900
,07 Apr 10,5900
,08 Apr 10,5900
,09 Apr 10,5900
,10 Apr 10,5900
,12 Apr 10,5900
,13 Apr 10,5900
,14 Apr 10,5920
,15 Apr 10,5940
,16 Apr 10,6150
,17 Apr 10,6100
,19 Apr 10,6100
,20 Apr 10,6100
,21 Apr 10,6100
,22 Apr 10,6100
,23 Apr 10,5960
,26 Apr 10,5900
,27 Apr 10,5900
,28 Apr 10,5900
,29 Apr 10,5880
,30 Apr 10,5900
,03 May 10,5880
,04 May 10,6000
,05 May 10,5960
,06 May 10,5960
,07 May 10,5960
,10 May 10,5900
,11 May 10,5900
,12 May 10,5880
,13 May 10,5880
,14 May 10,5900
,17 May 10,5880
,18 May 10,5880
,19 May 10,5870
,20 May 10,5870
,21 May 10,5860
,24 May 10,5870
,25 May 10,5870
,26 May 10,5800
,27 May 10,5800
,28 May 10,5800
,31 May 10,5850
,01 Jun 10,5850
,02 Jun 10,5800
,03 Jun 10,5800
,04 Jun 10,5830
,07 Jun 10,5810
,08 Jun 10,5810
,09 Jun 10,5810
,10 Jun 10,6000
,11 Jun 10,5950
,14 Jun 10,6300
,15 Jun 10,6300
,16 Jun 10,6300
,17 Jun 10,6300
,18 Jun 10,6300
,21 Jun 10,6350
,22 Jun 10,6450
,23 Jun 10,6350
,24 Jun 10,6400
,28 Jun 10,6450
,29 Jun 10,6450
,30 Jun 10,6450
,01 Jul 10,6450
,05 Jul 10,6450
,06 Jul 10,6450
,07 Jul 10,6450
,08 Jul 10,6450
,09 Jul 10,6450
,12 Jul 10,6450
,13 Jul 10,6450
,14 Jul 10,6450
,15 Jul 10,6450
,16 Jul 10,6450
,19 Jul 10,6450
,20 Jul 10,6450
,21 Jul 10,6450
,22 Jul 10,6450
,23 Jul 10,6450
,26 Jul 10,6450
,27 Jul 10,6540
,28 Jul 10,6550
,29 Jul 10,6550
,30 Jul 10,6550
,02 Aug 10,6550
,03 Aug 10,
,04 Aug 10,6550
,05 Aug 10,6550
,06 Aug 10,6550
,09 Aug 10,6950
,10 Aug 10,6950
,11 Aug 10,6950
,12 Aug 10,6950
,13 Aug 10,6950
,16 Aug 10,6950
,17 Aug 10,6950
,18 Aug 10,6950
,19 Aug 10,6950
,20 Aug 10,6950
,22 Aug 10,7300
,23 Aug 10,7300
,24 Aug 10,7680
,25 Aug 10,7700
,26 Aug 10,7600
,27 Aug 10,7700
,30 Aug 10,7700
,31 Aug 10,7700
,01 Sep 10,7880
,02 Sep 10,7900
,03 Sep 10,7900
,06 Sep 10,7900
,07 Sep 10,7900
,08 Sep 10,7900
,09 Sep 10,7900
,14 Sep 10,7900
,15 Sep 10,7900
,16 Sep 10,7960
,17 Sep 10,7960
,18 Sep 10,7960
