CropName_1,CityName,textbox5,textbox6,textbox7
Sugar,Sargodha,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,01 Jan 10,6190
,02 Jan 10,6290
,04 Jan 10,6230
,05 Jan 10,6230
,06 Jan 10,6200
,07 Jan 10,6200
,08 Jan 10,6210
,11 Jan 10,6230
,12 Jan 10,6230
,13 Jan 10,6190
,14 Jan 10,6190
,15 Jan 10,6200
,16 Jan 10,6200
,18 Jan 10,6210
,19 Jan 10,6330
,20 Jan 10,6330
,21 Jan 10,6330
,23 Jan 10,6610
,25 Jan 10,6710
,26 Jan 10,6770
,27 Jan 10,6750
,28 Jan 10,6710
,29 Jan 10,6690
,30 Jan 10,6670
,01 Feb 10,6670
,02 Feb 10,6610
,03 Feb 10,6630
,04 Feb 10,6570
,06 Feb 10,6570
,08 Feb 10,6550
,09 Feb 10,6530
,10 Feb 10,6510
,11 Feb 10,6510
,12 Feb 10,6590
,13 Feb 10,6570
,15 Feb 10,6550
,16 Feb 10,6550
,17 Feb 10,6550
,18 Feb 10,6575
,19 Feb 10,6530
,20 Feb 10,6530
,22 Feb 10,6460
,23 Feb 10,6460
,24 Feb 10,6470
,25 Feb 10,6490
,26 Feb 10,6490
,01 Mar 10,6450
,02 Mar 10,6430
,03 Mar 10,6440
,04 Mar 10,6410
,05 Mar 10,6410
,08 Mar 10,6310
,09 Mar 10,6310
,10 Mar 10,6270
,11 Mar 10,6250
,12 Mar 10,6250
,13 Mar 10,6250
,15 Mar 10,6130
,16 Mar 10,6100
,17 Mar 10,6090
,18 Mar 10,6110
,19 Mar 10,6110
,20 Mar 10,6110
,22 Mar 10,6110
,25 Mar 10,5990
,26 Mar 10,5950
,27 Mar 10,5870
,29 Mar 10,5810
,30 Mar 10,5790
,31 Mar 10,5790
,01 Apr 10,5830
,02 Apr 10,5850
,05 Apr 10,5890
,06 Apr 10,5890
,07 Apr 10,5890
,08 Apr 10,5890
,09 Apr 10,5890
,10 Apr 10,5890
,12 Apr 10,5850
,13 Apr 10,
,14 Apr 10,
,15 Apr 10,5830
,16 Apr 10,6010
,17 Apr 10,6090
,19 Apr 10,6090
,20 Apr 10,6010
,21 Apr 10,6010
,23 Apr 10,5890
,26 Apr 10,5830
,27 Apr 10,5830
,28 Apr 10,5810
,29 Apr 10,5810
,30 Apr 10,5810
,03 May 10,5830
,04 May 10,5810
,05 May 10,5890
,06 May 10,5870
,07 May 10,5870
,10 May 10,5870
,11 May 10,5870
,12 May 10,5860
,13 May 10,5840
,14 May 10,5840
,17 May 10,5850
,18 May 10,5840
,19 May 10,5830
,20 May 10,5810
,21 May 10,5810
,24 May 10,5810
,25 May 10,5810
,26 May 10,5810
