CropName_1,CityName,textbox5,textbox6,textbox7
Wheat,BahawalPur,6/15/2012,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,15 Jun 12,2475
,20 Jun 12,2475
,06 Jul 12,2438
,09 Jul 12,2438
,10 Jul 12,2438
,12 Jul 12,2448
,13 Jul 12,2438
,16 Jul 12,2438
,21 Jul 12,
,23 Jul 12,
,26 Jul 12,
,27 Jul 12,
,29 Jul 12,2538
,30 Jul 12,2538
,31 Jul 12,2538
,01 Aug 12,2538
,02 Aug 12,2538
,04 Aug 12,2538
,06 Aug 12,2538
,07 Aug 12,2538
,09 Aug 12,
,11 Aug 12,
,16 Aug 12,2619
,17 Aug 12,
,27 Aug 12,2650
,07 Sep 12,2650
,10 Sep 12,2650
,12 Sep 12,2650
,13 Sep 12,2650
,14 Sep 12,2650
,15 Sep 12,2650
,17 Sep 12,2600
,19 Sep 12,2688
,20 Sep 12,2688
,25 Sep 12,2700
,26 Sep 12,2700
,01 Oct 12,2700
,02 Oct 12,2700
,03 Oct 12,2700
,04 Oct 12,2700
,10 Oct 12,2725
,13 Oct 12,
,15 Oct 12,2725
,17 Oct 12,2725
,18 Oct 12,2725
,19 Oct 12,2781
,20 Oct 12,2781
,24 Oct 12,2788
,14 Nov 12,2788
,15 Nov 12,2788
,16 Nov 12,2788
,17 Nov 12,2788
,19 Nov 12,2788
,20 Nov 12,2788
,30 Nov 12,2875
,03 Dec 12,2875
,04 Dec 12,2938
,05 Dec 12,2938
,06 Dec 12,2938
,07 Dec 12,2938
,08 Dec 12,2938
,10 Dec 12,2938
,11 Dec 12,2938
,12 Dec 12,2938
,17 Dec 12,2908
,31 Dec 12,2938
,02 Jan 13,2938
,03 Jan 13,3000
,04 Jan 13,3000
,08 Jan 13,3000
,09 Jan 13,3000
,16 Jan 13,3063
,17 Jan 13,3063
,14 Feb 13,3063
,20 Feb 13,3063
,21 Feb 13,3063
,22 Feb 13,3063
,23 Feb 13,3063
,08 Mar 13,3063
,15 Mar 13,3063
,04 Apr 13,3125
,15 Apr 13,2875
,16 Apr 13,2875
,19 Apr 13,2750
,22 Apr 13,2775
,23 Apr 13,2775
,24 Apr 13,2775
,02 May 13,2775
,03 May 13,2775
,06 May 13,2775
,07 May 13,2775
,09 May 13,2838
,13 May 13,2850
,14 May 13,2850
,15 May 13,2850
,16 May 13,2850
,21 May 13,2950
,22 May 13,2975
,28 May 13,3000
,29 May 13,3000
,30 May 13,3000
,31 May 13,3000
,13 Jun 13,3138
,17 Jun 13,3138
,21 Jun 13,3138
,24 Jun 13,3150
,27 Jun 13,3188
,02 Jul 13,3200
,04 Jul 13,3200
,08 Jul 13,3200
,10 Jul 13,3200
,11 Jul 13,3200
,12 Jul 13,3200
,13 Jul 13,3200
,15 Jul 13,3200
,16 Jul 13,3200
,17 Jul 13,3200
,18 Jul 13,3200
,19 Jul 13,3200
,17 Aug 13,3550
,23 Aug 13,3450
,29 Aug 13,3413
,03 Sep 13,3513
,10 Sep 13,3513
,13 Sep 13,3513
,16 Sep 13,3513
,21 Sep 13,3533
,24 Sep 13,3533
,26 Sep 13,3533
,30 Sep 13,3533
,03 Oct 13,3438
,04 Oct 13,3425
,08 Oct 13,3500
