CropName_1,CityName,textbox5,textbox6,textbox7
Wheat,Faisalabad,6/15/2012,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,15 Jun 12,
,16 Jun 12,2563
,18 Jun 12,2513
,20 Jun 12,2513
,21 Jun 12,2513
,22 Jun 12,
,23 Jun 12,2513
,25 Jun 12,2513
,26 Jun 12,2513
,27 Jun 12,2513
,28 Jun 12,2513
,29 Jun 12,
,30 Jun 12,2513
,02 Jul 12,2513
,03 Jul 12,2513
,04 Jul 12,2513
,05 Jul 12,2513
,06 Jul 12,
,07 Jul 12,2513
,09 Jul 12,2513
,10 Jul 12,2513
,11 Jul 12,2563
,12 Jul 12,2563
,13 Jul 12,
,14 Jul 12,2563
,16 Jul 12,2518
,17 Jul 12,2562
,18 Jul 12,2563
,19 Jul 12,2563
,20 Jul 12,2563
,21 Jul 12,2563
,22 Jul 12,2563
,23 Jul 12,2563
,24 Jul 12,2575
,25 Jul 12,2575
,26 Jul 12,2575
,27 Jul 12,2575
,30 Jul 12,2575
,31 Jul 12,2563
,01 Aug 12,2563
,02 Aug 12,2563
,03 Aug 12,2563
,04 Aug 12,2562
,05 Aug 12,2563
,06 Aug 12,2563
,07 Aug 12,2563
,08 Aug 12,2563
,09 Aug 12,2563
,10 Aug 12,2563
,11 Aug 12,2563
,13 Aug 12,2563
,15 Aug 12,2563
,16 Aug 12,2563
,17 Aug 12,2563
,18 Aug 12,2563
,23 Aug 12,2563
,24 Aug 12,
,25 Aug 12,2563
,27 Aug 12,2563
,28 Aug 12,2563
,29 Aug 12,2563
,30 Aug 12,2563
,31 Aug 12,
,01 Sep 12,2763
,03 Sep 12,2763
,04 Sep 12,2775
,05 Sep 12,2763
,06 Sep 12,2763
,07 Sep 12,
,08 Sep 12,2763
,10 Sep 12,2763
,11 Sep 12,2763
,12 Sep 12,2763
,13 Sep 12,2763
,14 Sep 12,
,15 Sep 12,2763
,17 Sep 12,2763
,18 Sep 12,2763
,19 Sep 12,2763
,20 Sep 12,2763
,22 Sep 12,2763
,24 Sep 12,2763
,25 Sep 12,2763
,26 Sep 12,2763
,27 Sep 12,2763
,28 Sep 12,
,29 Sep 12,2763
,01 Oct 12,2763
,02 Oct 12,2762
,03 Oct 12,2763
,04 Oct 12,2763
,05 Oct 12,
,06 Oct 12,2763
,08 Oct 12,2763
,09 Oct 12,2800
,10 Oct 12,2800
,11 Oct 12,2800
,12 Oct 12,
,13 Oct 12,2800
,15 Oct 12,2800
,16 Oct 12,2800
,17 Oct 12,2800
,18 Oct 12,2800
,19 Oct 12,
,20 Oct 12,2800
,23 Oct 12,2800
,24 Oct 12,2800
,25 Oct 12,2800
,30 Oct 12,2800
,31 Oct 12,2788
,01 Nov 12,2800
,02 Nov 12,
,03 Nov 12,2800
,05 Nov 12,2800
,06 Nov 12,2800
,12 Nov 12,2800
,13 Nov 12,2800
,14 Nov 12,2800
,15 Nov 12,2800
,16 Nov 12,
,17 Nov 12,2800
,19 Nov 12,2800
,21 Nov 12,2800
,22 Nov 12,2800
,23 Nov 12,
,30 Nov 12,
,01 Dec 12,2850
,03 Dec 12,2850
,04 Dec 12,2850
,05 Dec 12,2850
,06 Dec 12,2850
,07 Dec 12,
