CropName_1,CityName,textbox5,textbox6,textbox7
Wheat,Gujranwala,6/15/2012,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,15 Jun 12,2588
,25 Jun 12,2600
,26 Jun 12,2638
,27 Jun 12,2638
,28 Jun 12,2643
,29 Jun 12,2643
,30 Jun 12,2643
,03 Jul 12,2643
,05 Jul 12,2575
,06 Jul 12,2575
,07 Jul 12,2575
,09 Jul 12,2575
,13 Jul 12,2575
,14 Jul 12,2575
,05 Sep 12,2612
,07 Sep 12,2612
,08 Sep 12,2613
,10 Sep 12,2638
,11 Sep 12,2638
,12 Sep 12,2638
,13 Sep 12,2638
,14 Sep 12,2640
,15 Sep 12,2640
,17 Sep 12,2638
,18 Sep 12,2645
,19 Sep 12,2645
,20 Sep 12,2675
,22 Sep 12,2665
,24 Sep 12,2675
,25 Sep 12,2675
,26 Sep 12,2675
,27 Sep 12,2675
,28 Sep 12,2675
,29 Sep 12,2675
,01 Oct 12,2675
,02 Oct 12,2688
,03 Oct 12,2688
,04 Oct 12,2675
,05 Oct 12,2688
,06 Oct 12,2688
,08 Oct 12,2688
,09 Oct 12,2688
,10 Oct 12,2693
,11 Oct 12,2693
,12 Oct 12,2693
,13 Oct 12,2693
,15 Oct 12,2693
,16 Oct 12,2693
,17 Oct 12,2725
,18 Oct 12,2725
,19 Oct 12,2725
,20 Oct 12,2725
,22 Oct 12,2725
,23 Oct 12,2725
,24 Oct 12,2725
,25 Oct 12,2725
,31 Oct 12,2725
,01 Nov 12,2725
,02 Nov 12,2725
,03 Nov 12,2725
,05 Nov 12,2725
,06 Nov 12,2725
,12 Nov 12,2775
,13 Nov 12,2775
,14 Nov 12,2775
,15 Nov 12,2775
,16 Nov 12,2775
,17 Nov 12,2775
,19 Nov 12,2788
,20 Nov 12,2788
,21 Nov 12,2788
,22 Nov 12,2788
,26 Nov 12,2793
,28 Nov 12,2793
,01 Dec 12,2793
,03 Dec 12,2792
,04 Dec 12,2875
,06 Dec 12,2825
,07 Dec 12,2825
,08 Dec 12,2825
,11 Dec 12,2825
,12 Dec 12,2825
,13 Dec 12,2875
,18 Dec 12,2975
,19 Dec 12,2875
,20 Dec 12,2875
,22 Dec 12,2875
,27 Dec 12,2875
,28 Dec 12,2875
,29 Dec 12,2875
,01 Jan 13,2875
,02 Jan 13,2875
,04 Jan 13,2875
,10 Jan 13,2888
