CropName_1,CityName,textbox5,textbox6,textbox7
Wheat,Multan,6/15/2012,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,15 Jun 12,
,16 Jun 12,2465
,18 Jun 12,2500
,20 Jun 12,2488
,21 Jun 12,2488
,22 Jun 12,
,25 Jun 12,2475
,26 Jun 12,2488
,28 Jun 12,2488
,29 Jun 12,
,30 Jun 12,2450
,02 Jul 12,2488
,03 Jul 12,2475
,04 Jul 12,2475
,05 Jul 12,2475
,06 Jul 12,
,07 Jul 12,2475
,09 Jul 12,2463
,10 Jul 12,2450
,11 Jul 12,2475
,12 Jul 12,2450
,13 Jul 12,
,14 Jul 12,2450
,16 Jul 12,2450
,17 Jul 12,2475
,18 Jul 12,2475
,19 Jul 12,2475
,20 Jul 12,
,21 Jul 12,2475
,22 Jul 12,2457
,23 Jul 12,2463
,24 Jul 12,2475
,25 Jul 12,2475
,26 Jul 12,2525
,27 Jul 12,
,30 Jul 12,2588
,31 Jul 12,2600
,01 Aug 12,2600
,02 Aug 12,2600
,03 Aug 12,
,04 Aug 12,2600
,06 Aug 12,2638
,07 Aug 12,2613
,08 Aug 12,2613
,09 Aug 12,2613
,10 Aug 12,
,11 Aug 12,2613
,13 Aug 12,2600
,14 Aug 12,
,15 Aug 12,2600
,16 Aug 12,2638
,17 Aug 12,
,18 Aug 12,2638
,23 Aug 12,2638
,24 Aug 12,
,25 Aug 12,
,27 Aug 12,2713
,28 Aug 12,2713
,29 Aug 12,2750
,31 Aug 12,
,01 Sep 12,2763
,03 Sep 12,2763
,04 Sep 12,2763
,06 Sep 12,2725
,07 Sep 12,
,08 Sep 12,2725
,10 Sep 12,2725
,11 Sep 12,2713
,12 Sep 12,2700
,13 Sep 12,2700
,14 Sep 12,
,17 Sep 12,2713
,18 Sep 12,2713
,20 Sep 12,2725
,24 Sep 12,2725
,25 Sep 12,2738
,26 Sep 12,2738
,27 Sep 12,2738
,29 Sep 12,2738
,01 Oct 12,2738
,02 Oct 12,2738
,05 Oct 12,
,06 Oct 12,2750
,08 Oct 12,2775
,09 Oct 12,2775
,10 Oct 12,2775
,11 Oct 12,2775
,12 Oct 12,
,13 Oct 12,2794
,15 Oct 12,2788
,16 Oct 12,2782
,17 Oct 12,2782
,18 Oct 12,2782
,20 Oct 12,2788
,22 Oct 12,2794
,23 Oct 12,2800
,24 Oct 12,2794
,31 Oct 12,2775
,01 Nov 12,2775
,02 Nov 12,
,03 Nov 12,2775
,05 Nov 12,2775
,06 Nov 12,2775
,12 Nov 12,2875
,13 Nov 12,2900
,14 Nov 12,2888
,15 Nov 12,2900
,16 Nov 12,
,19 Nov 12,2888
,20 Nov 12,2888
,21 Nov 12,2882
,22 Nov 12,2888
,23 Nov 12,
,30 Nov 12,
,01 Dec 12,2875
,03 Dec 12,2875
