CropName_1,CityName,textbox5,textbox6,textbox7
Rice Basmati Super (New),Gujranwala,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,01 Jan 10,5150
,02 Jan 10,5150
,04 Jan 10,5250
,05 Jan 10,5550
,06 Jan 10,5550
,07 Jan 10,5550
,08 Jan 10,5750
,09 Jan 10,5850
,11 Jan 10,5950
,12 Jan 10,6050
,14 Jan 10,6050
,20 Jan 10,6150
,22 Jan 10,6100
,23 Jan 10,6100
,26 Jan 10,5900
,27 Jan 10,5900
,28 Jan 10,5850
,29 Jan 10,5900
,30 Jan 10,5850
,01 Feb 10,5900
,02 Feb 10,5850
,03 Feb 10,5900
,04 Feb 10,5900
,06 Feb 10,5950
,08 Feb 10,5850
,09 Feb 10,5900
,10 Feb 10,5950
,13 Feb 10,5950
,15 Feb 10,5950
,16 Feb 10,5850
,18 Feb 10,5900
,19 Feb 10,6900
,20 Feb 10,5900
,22 Feb 10,5850
,23 Feb 10,5850
,24 Feb 10,5850
,25 Feb 10,5900
,26 Feb 10,5950
,01 Mar 10,5900
,02 Mar 10,5950
,03 Mar 10,5950
,04 Mar 10,5950
,05 Mar 10,5900
,06 Mar 10,5900
,08 Mar 10,5900
,09 Mar 10,5750
,10 Mar 10,5700
,12 Mar 10,5750
,15 Mar 10,5900
,16 Mar 10,5850
,17 Mar 10,5900
,18 Mar 10,5900
,19 Mar 10,5900
,20 Mar 10,5900
,22 Mar 10,5750
,25 Mar 10,5850
,26 Mar 10,5900
,27 Mar 10,5800
,29 Mar 10,5700
,30 Mar 10,5750
,31 Mar 10,5800
,01 Apr 10,5700
,02 Apr 10,5750
,05 Apr 10,5850
,06 Apr 10,5800
,07 Apr 10,5700
,08 Apr 10,5800
,09 Apr 10,5700
,10 Apr 10,5700
,12 Apr 10,5700
,13 Apr 10,5750
,14 Apr 10,5350
,15 Apr 10,5400
,16 Apr 10,5400
,17 Apr 10,5350
,19 Apr 10,5400
,20 Apr 10,5500
,21 Apr 10,5550
,22 Apr 10,5450
,23 Apr 10,5550
,26 Apr 10,5550
,27 Apr 10,5450
,28 Apr 10,5550
,29 Apr 10,5550
,30 Apr 10,5650
,03 May 10,5550
,04 May 10,5650
,05 May 10,5550
,06 May 10,5550
,07 May 10,5650
,10 May 10,5650
,11 May 10,5550
,12 May 10,5650
,13 May 10,5700
,14 May 10,5700
,17 May 10,5700
,18 May 10,5700
,19 May 10,5700
,20 May 10,5750
,21 May 10,5650
,24 May 10,5750
,25 May 10,5750
,27 May 10,5750
,28 May 10,5750
,31 May 10,5650
,01 Jun 10,5650
,02 Jun 10,5700
,03 Jun 10,5750
,04 Jun 10,5700
,07 Jun 10,5750
,08 Jun 10,5750
,09 Jun 10,5650
,10 Jun 10,5650
,11 Jun 10,5750
,14 Jun 10,5700
,15 Jun 10,5650
,16 Jun 10,5700
,17 Jun 10,5650
,18 Jun 10,5650
,21 Jun 10,5700
,22 Jun 10,5750
,23 Jun 10,5750
,24 Jun 10,5750
,25 Jun 10,5700
,28 Jun 10,5750
,29 Jun 10,5800
,30 Jun 10,5800
,01 Jul 10,5700
,02 Jul 10,5750
,05 Jul 10,5850
,06 Jul 10,5850
,07 Jul 10,5750
,08 Jul 10,5750
,09 Jul 10,5750
,12 Jul 10,5850
,13 Jul 10,5750
,14 Jul 10,5750
,16 Jul 10,5850
,19 Jul 10,5800
,20 Jul 10,5850
,21 Jul 10,5950
,22 Jul 10,5950
,23 Jul 10,5950
,26 Jul 10,5900
,27 Jul 10,5950
,28 Jul 10,5900
,29 Jul 10,5900
,30 Jul 10,5900
,02 Aug 10,5950
,03 Aug 10,5950
,04 Aug 10,5900
,06 Aug 10,5900
,09 Aug 10,5950
,10 Aug 10,6050
,11 Aug 10,5950
,12 Aug 10,5950
,13 Aug 10,5900
,14 Aug 10,5950
,15 Aug 10,5950
,17 Aug 10,6050
,18 Aug 10,6050
,19 Aug 10,6050
,20 Aug 10,5950
,21 Aug 10,6050
,23 Aug 10,6050
,24 Aug 10,6050
,25 Aug 10,6050
,26 Aug 10,6050
,27 Aug 10,6050
,28 Aug 10,6050
,29 Aug 10,6050
,30 Aug 10,6050
,31 Aug 10,6050
,01 Sep 10,6050
,02 Sep 10,6050
,03 Sep 10,6050
,04 Sep 10,6050
,05 Sep 10,6050
,07 Sep 10,6050
,08 Sep 10,6100
,09 Sep 10,6100
,14 Sep 10,6150
,15 Sep 10,6150
,16 Sep 10,6150
,17 Sep 10,6200
,20 Sep 10,6200
,21 Sep 10,6200
,22 Sep 10,6350
,23 Sep 10,6350
,24 Sep 10,6350
,27 Sep 10,6400
,28 Sep 10,6350
,29 Sep 10,6400
,30 Sep 10,6400
,01 Oct 10,6400
,04 Oct 10,6500
,05 Oct 10,6600
,06 Oct 10,6600
,07 Oct 10,6400
,08 Oct 10,6450
,11 Oct 10,6350
,12 Oct 10,6200
,13 Oct 10,6450
,14 Oct 10,6500
,18 Oct 10,6650
,19 Oct 10,6750
,20 Oct 10,6750
,21 Oct 10,6750
,22 Oct 10,6750
,25 Oct 10,6750
,26 Oct 10,6650
,27 Oct 10,6650
,28 Oct 10,6650
,29 Oct 10,6700
,01 Nov 10,6650
,02 Nov 10,6700
,03 Nov 10,6800
,04 Nov 10,6800
,05 Nov 10,6850
,08 Nov 10,6700
,10 Nov 10,6850
,11 Nov 10,6700
,12 Nov 10,6650
,15 Nov 10,6700
,16 Nov 10,6650
,22 Nov 10,6700
,23 Nov 10,6750
,24 Nov 10,6050
,25 Nov 10,6050
,26 Nov 10,6050
,27 Nov 10,6050
,29 Nov 10,6800
,30 Nov 10,6050
,01 Dec 10,6050
,02 Dec 10,5975
,03 Dec 10,6050
,04 Dec 10,6100
,06 Dec 10,6050
,07 Dec 10,6100
,08 Dec 10,6100
,09 Dec 10,6150
,10 Dec 10,6300
,11 Dec 10,6300
,13 Dec 10,6500
,14 Dec 10,6450
,15 Dec 10,6450
,18 Dec 10,6450
,20 Dec 10,6550
,21 Dec 10,6450
,22 Dec 10,6750
,23 Dec 10,6650
,24 Dec 10,6650
,27 Dec 10,6650
,29 Dec 10,6650
,30 Dec 10,6750
,31 Dec 10,6750
,01 Jan 11,6750
,03 Jan 11,6750
,04 Jan 11,6750
,06 Jan 11,6750
,07 Jan 11,6750
,08 Jan 11,6850
,10 Jan 11,6850
,11 Jan 11,6850
,12 Jan 11,6850
,13 Jan 11,6850
,14 Jan 11,6850
,15 Jan 11,6850
,17 Jan 11,6850
,18 Jan 11,6850
,19 Jan 11,6800
,20 Jan 11,6850
,21 Jan 11,6750
,22 Jan 11,6850
,24 Jan 11,6650
,25 Jan 11,6700
,26 Jan 11,6750
,27 Jan 11,6850
,28 Jan 11,6850
,29 Jan 11,6850
,31 Jan 11,6750
,01 Feb 11,6650
,02 Feb 11,6750
,03 Feb 11,6750
,04 Feb 11,6650
,07 Feb 11,6650
,08 Feb 11,6600
,09 Feb 11,6600
,10 Feb 11,6750
,11 Feb 11,6550
,12 Feb 11,6550
,14 Feb 11,6550
,15 Feb 11,6650
,17 Feb 11,6650
,18 Feb 11,6650
,19 Feb 11,6650
,21 Feb 11,6650
,22 Feb 11,6550
,23 Feb 11,6550
,24 Feb 11,6550
,25 Feb 11,6650
,26 Feb 11,6550
,28 Feb 11,6550
,01 Mar 11,6550
,02 Mar 11,6550
,03 Mar 11,6550
,04 Mar 11,6550
,05 Mar 11,6550
,07 Mar 11,6550
,08 Mar 11,6550
,09 Mar 11,6550
,10 Mar 11,6550
,11 Mar 11,6550
,12 Mar 11,6450
,14 Mar 11,6450
,15 Mar 11,6550
,16 Mar 11,6450
,17 Mar 11,6450
,18 Mar 11,6450
,19 Mar 11,6450
,21 Mar 11,6550
,22 Mar 11,6550
,24 Mar 11,6450
,25 Mar 11,6550
,26 Mar 11,6550
,28 Mar 11,6550
,29 Mar 11,6450
,30 Mar 11,6450
,31 Mar 11,6450
,01 Apr 11,6450
,02 Apr 11,6450
,04 Apr 11,6450
,05 Apr 11,6550
,07 Apr 11,6550
,08 Apr 11,6550
,09 Apr 11,6550
,11 Apr 11,6550
,12 Apr 11,6550
,13 Apr 11,6600
,14 Apr 11,6550
,15 Apr 11,6600
,16 Apr 11,6600
,18 Apr 11,6600
,19 Apr 11,6600
,20 Apr 11,6600
,21 Apr 11,6600
,22 Apr 11,6600
,23 Apr 11,6600
,26 Apr 11,6600
,27 Apr 11,6600
,28 Apr 11,6600
,29 Apr 11,6600
,02 May 11,6600
,03 May 11,6600
,04 May 11,6600
,05 May 11,6600
,06 May 11,6600
,07 May 11,6600
,09 May 11,6600
,10 May 11,6700
,11 May 11,6700
,12 May 11,6700
,13 May 11,6700
,14 May 11,6700
,16 May 11,6700
,17 May 11,6550
,18 May 11,6550
,19 May 11,6550
,20 May 11,6550
,21 May 11,6550
,23 May 11,6550
,24 May 11,6550
,25 May 11,6550
,26 May 11,6550
,27 May 11,6550
,28 May 11,6550
,30 May 11,6550
,31 May 11,6550
,01 Jun 11,6550
,03 Jun 11,6550
,04 Jun 11,6550
