CropName_1,CityName,textbox5,textbox6,textbox7
Rice Basmati Super (New),Multan,1/1/2010,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,01 Jan 10,
,04 Jan 10,6000
,05 Jan 10,6000
,06 Jan 10,6000
,07 Jan 10,6188
,08 Jan 10,
,09 Jan 10,6188
,11 Jan 10,6188
,12 Jan 10,6250
,13 Jan 10,6375
,14 Jan 10,6250
,15 Jan 10,
,16 Jan 10,6250
,18 Jan 10,6250
,19 Jan 10,6350
,20 Jan 10,6375
,21 Jan 10,6375
,22 Jan 10,
,25 Jan 10,6375
,26 Jan 10,6375
,27 Jan 10,6125
,28 Jan 10,6125
,29 Jan 10,
,30 Jan 10,6125
,01 Feb 10,6125
,02 Feb 10,6125
,03 Feb 10,6125
,04 Feb 10,6125
,06 Feb 10,6063
,08 Feb 10,6063
,09 Feb 10,6063
,10 Feb 10,6063
,11 Feb 10,6063
,12 Feb 10,
,13 Feb 10,5750
,15 Feb 10,5750
,16 Feb 10,5875
,17 Feb 10,5875
,19 Feb 10,
,20 Feb 10,5750
,22 Feb 10,5750
,23 Feb 10,5563
,24 Feb 10,5563
,25 Feb 10,5563
,01 Mar 10,5563
,02 Mar 10,5625
,03 Mar 10,5625
,04 Mar 10,5625
,05 Mar 10,
,06 Mar 10,5625
,08 Mar 10,5563
,09 Mar 10,5875
,10 Mar 10,5750
,11 Mar 10,5563
,12 Mar 10,
,13 Mar 10,5563
,15 Mar 10,5563
,16 Mar 10,5563
,17 Mar 10,5563
,18 Mar 10,5625
,19 Mar 10,
,20 Mar 10,5625
,22 Mar 10,5563
,25 Mar 10,5500
,26 Mar 10,
,27 Mar 10,5500
,29 Mar 10,5500
,30 Mar 10,5500
,31 Mar 10,5500
,01 Apr 10,5500
,02 Apr 10,
,05 Apr 10,5500
,06 Apr 10,5500
,07 Apr 10,5375
,08 Apr 10,5375
,09 Apr 10,
,10 Apr 10,5375
,12 Apr 10,5375
,13 Apr 10,5375
,14 Apr 10,
,15 Apr 10,5375
,16 Apr 10,
,17 Apr 10,5438
,19 Apr 10,5500
,20 Apr 10,5375
,21 Apr 10,5375
,22 Apr 10,5375
,23 Apr 10,
,26 Apr 10,5375
,27 Apr 10,5375
,28 Apr 10,5375
,29 Apr 10,5375
,30 Apr 10,
,04 May 10,5500
,05 May 10,5500
,06 May 10,5438
,07 May 10,
,10 May 10,5375
,11 May 10,5375
,12 May 10,5375
,13 May 10,5375
,14 May 10,
,17 May 10,5375
,18 May 10,5375
,19 May 10,5375
,20 May 10,5375
,21 May 10,
,24 May 10,5375
,25 May 10,5375
,26 May 10,5438
,27 May 10,5438
,28 May 10,
,31 May 10,5438
,01 Jun 10,5250
,02 Jun 10,5188
,03 Jun 10,5250
,04 Jun 10,
,07 Jun 10,5250
,08 Jun 10,5250
,09 Jun 10,5188
,10 Jun 10,5188
,11 Jun 10,
,14 Jun 10,5188
,15 Jun 10,5375
,16 Jun 10,5500
,17 Jun 10,5500
,18 Jun 10,
,21 Jun 10,5500
,22 Jun 10,5563
,23 Jun 10,5563
,24 Jun 10,5625
,25 Jun 10,
,28 Jun 10,5625
,29 Jun 10,5625
,01 Jul 10,5500
,02 Jul 10,
,05 Jul 10,5563
,06 Jul 10,5563
,07 Jul 10,5563
,08 Jul 10,5625
,09 Jul 10,
,12 Jul 10,5625
,13 Jul 10,5625
,15 Jul 10,5688
,16 Jul 10,
,19 Jul 10,5688
,20 Jul 10,5688
,21 Jul 10,5750
,22 Jul 10,5750
,23 Jul 10,
,26 Jul 10,5750
,27 Jul 10,5875
,28 Jul 10,
,29 Jul 10,5875
,30 Jul 10,
,02 Aug 10,5875
,03 Aug 10,5813
,04 Aug 10,5813
,05 Aug 10,5688
,06 Aug 10,
,08 Aug 10,
,09 Aug 10,5813
,10 Aug 10,5813
,11 Aug 10,6000
,12 Aug 10,6000
,13 Aug 10,
,14 Aug 10,6000
,15 Aug 10,6000
,16 Aug 10,6000
,17 Aug 10,6000
,18 Aug 10,5875
,19 Aug 10,5875
,20 Aug 10,
,21 Aug 10,5875
,22 Aug 10,5938
,23 Aug 10,5938
,24 Aug 10,5938
,25 Aug 10,6063
,26 Aug 10,6250
,27 Aug 10,
,28 Aug 10,6250
,29 Aug 10,6063
,30 Aug 10,6063
,31 Aug 10,6063
,01 Sep 10,6063
,02 Sep 10,6125
,03 Sep 10,
,04 Sep 10,6125
,05 Sep 10,6125
,06 Sep 10,6125
,07 Sep 10,6125
,08 Sep 10,6125
,09 Sep 10,6125
,14 Sep 10,6125
,15 Sep 10,6125
,16 Sep 10,6125
,17 Sep 10,
,20 Sep 10,6250
,21 Sep 10,6250
,22 Sep 10,6250
