CropName_1,CityName,textbox5,textbox6,textbox7
Wheat,Sargodha,6/15/2012,12/11/2023,Rs./100kg

Label,chart1_CategoryGroup1_label,chart1_CategoryGroup1_Value_DataValue0
,15 Jun 12,2500
,16 Jun 12,2500
,18 Jun 12,2450
,20 Jun 12,2387
,21 Jun 12,2388
,23 Jun 12,2388
,26 Jun 12,2400
,27 Jun 12,2400
,28 Jun 12,2388
,29 Jun 12,2388
,30 Jun 12,2388
,02 Jul 12,2363
,03 Jul 12,2388
,04 Jul 12,2388
,05 Jul 12,
,06 Jul 12,2406
,07 Jul 12,2406
,09 Jul 12,2406
,10 Jul 12,2419
,11 Jul 12,2406
,12 Jul 12,2406
,14 Jul 12,
,16 Jul 12,2387
,17 Jul 12,2388
,19 Jul 12,2406
,20 Jul 12,2406
,21 Jul 12,
,23 Jul 12,2406
,24 Jul 12,
,25 Jul 12,2475
,26 Jul 12,2575
,27 Jul 12,2513
,29 Jul 12,
,30 Jul 12,2513
,31 Jul 12,2488
,04 Aug 12,2475
,06 Aug 12,
,07 Aug 12,2513
,10 Aug 12,2513
,17 Aug 12,
,23 Aug 12,
,24 Aug 12,
,25 Aug 12,
,27 Aug 12,2719
,28 Aug 12,2719
,29 Aug 12,2719
,30 Aug 12,2719
,31 Aug 12,2713
,01 Sep 12,2713
,03 Sep 12,
,04 Sep 12,2663
,05 Sep 12,2638
,06 Sep 12,2663
,07 Sep 12,2638
,08 Sep 12,2638
,10 Sep 12,2638
,12 Sep 12,2663
,13 Sep 12,2663
,14 Sep 12,2663
,17 Sep 12,2638
,18 Sep 12,2638
,19 Sep 12,2638
,20 Sep 12,2663
,24 Sep 12,2669
,25 Sep 12,2669
,26 Sep 12,
,27 Sep 12,2663
,28 Sep 12,2663
,29 Sep 12,2663
,01 Oct 12,2663
,02 Oct 12,2656
,03 Oct 12,2638
,04 Oct 12,2638
,05 Oct 12,2638
,06 Oct 12,2638
,08 Oct 12,2675
,09 Oct 12,2663
,10 Oct 12,2663
,11 Oct 12,2663
,12 Oct 12,2663
,13 Oct 12,2663
,15 Oct 12,2663
,16 Oct 12,2663
,17 Oct 12,2713
,18 Oct 12,2713
,19 Oct 12,2725
,20 Oct 12,2725
,23 Oct 12,2725
,24 Oct 12,2725
,30 Oct 12,
,01 Nov 12,2788
,02 Nov 12,2788
,05 Nov 12,2787
,06 Nov 12,2775
,12 Nov 12,2788
,13 Nov 12,2788
,14 Nov 12,2788
,15 Nov 12,2775
,17 Nov 12,2775
,19 Nov 12,2775
,20 Nov 12,2775
,21 Nov 12,2775
,22 Nov 12,2775
,28 Nov 12,
,03 Dec 12,2838
,04 Dec 12,2838
,05 Dec 12,2838
,06 Dec 12,2838
,07 Dec 12,2838
,08 Dec 12,2838
,10 Dec 12,2838
,11 Dec 12,2838
,12 Dec 12,2838
,14 Dec 12,2838
,15 Dec 12,2838
,17 Dec 12,2900
,18 Dec 12,2900
,19 Dec 12,2900
,20 Dec 12,2900
,21 Dec 12,2900
,24 Dec 12,2900
,26 Dec 12,2900
,27 Dec 12,2900
,28 Dec 12,2900
,29 Dec 12,2900
,31 Dec 12,2938
,01 Jan 13,3225
,02 Jan 13,3225
,03 Jan 13,3225
,04 Jan 13,3225
,05 Jan 13,3225
,07 Jan 13,3275
,08 Jan 13,3275
,09 Jan 13,3325
,10 Jan 13,3313
,11 Jan 13,3313
,12 Jan 13,3294
,14 Jan 13,3325
,15 Jan 13,3325
,16 Jan 13,3281
,18 Jan 13,3281
,19 Jan 13,3281
,21 Jan 13,3281
